Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-07-04 00:00:00,224.86,226.86,224.43,226.08,57157.96044,2020-07-04 03:59:59.999000 ,12905129.0779851,24820.0,27860.40065,6290357.1445385,0.0
2020-07-04 04:00:00,226.09,226.66,225.84,226.09,30058.42572,2020-07-04 07:59:59.999000 ,6798037.0700523,16331.0,13655.38061,3088294.8595219,0.0
2020-07-04 08:00:00,226.09,226.46,225.4,225.63,33437.91855,2020-07-04 11:59:59.999000 ,7555466.3965864,16141.0,14679.05807,3317288.3010805,0.0
2020-07-04 12:00:00,225.63,226.55,225.11,225.86,41545.77313,2020-07-04 15:59:59.999000 ,9386433.4621095,21204.0,21374.39115,4829363.6051095,0.0
2020-07-04 16:00:00,225.85,230.71,225.42,228.98,114578.43481,2020-07-04 19:59:59.999000 ,26170841.8277187,40260.0,62352.48353,14245018.5498871,0.0
2020-07-04 20:00:00,228.99,229.5,228.35,229.17,30947.95328,2020-07-04 23:59:59.999000 ,7083560.4454668,15582.0,16239.76683,3717217.8012249,0.0
2020-07-05 00:00:00,229.24,229.85,227.39,228.24,50750.5582,2020-07-05 03:59:59.999000 ,11605784.3918493,20746.0,24739.19648,5657728.934111,0.0
2020-07-05 04:00:00,228.23,228.37,226.33,226.67,56343.92885,2020-07-05 07:59:59.999000 ,12803155.2593918,27088.0,25827.71566,5869510.1189077,0.0
2020-07-05 08:00:00,226.67,227.11,223.05,225.14,75548.12313,2020-07-05 11:59:59.999000 ,17021380.6963685,30585.0,34722.89193,7824301.6617335,0.0
2020-07-05 12:00:00,225.14,226.26,224.25,225.0,46671.08178,2020-07-05 15:59:59.999000 ,10509213.1413817,24252.0,22656.38608,5101877.1156902,0.0
2020-07-05 16:00:00,224.96,225.84,224.75,225.18,31778.54461,2020-07-05 19:59:59.999000 ,7160086.7356249,15534.0,15718.76336,3541622.9315856,0.0
